Time	 Wall Temp	 Sample Temp
2026-05-04 13:16:35.353802	 297.4315	 297.9017
2026-05-04 13:16:36.391820	 297.4095	 297.7478
2026-05-04 13:16:37.429541	 297.4095	 297.9897
2026-05-04 13:16:38.451813	 297.5858	 297.9347
2026-05-04 13:16:39.476785	 297.4844	 297.8467
2026-05-04 13:16:40.514394	 297.5197	 297.7764
2026-05-04 13:16:41.553973	 297.6078	 298.0007
2026-05-04 13:16:42.591829	 297.4756	 297.9677
2026-05-04 13:16:43.631760	 297.5087	 297.7808
2026-05-04 13:16:44.668545	 297.4646	 297.9127
2026-05-04 13:16:45.706697	 297.5931	 298.0117
2026-05-04 13:16:46.745428	 297.6078	 297.9699
2026-05-04 13:16:47.801519	 297.4646	 297.9677
2026-05-04 13:16:48.838664	 297.3984	 297.9017
2026-05-04 13:16:49.861413	 297.5638	 298.2206
2026-05-04 13:16:50.884124	 297.6078	 297.8907
2026-05-04 13:16:51.922751	 297.505	 297.9457
2026-05-04 13:16:52.945554	 297.3962	 297.7698
2026-05-04 13:16:53.984731	 297.5748	 298.3635
2026-05-04 13:16:55.023100	 297.696	 297.9017
2026-05-04 13:16:56.077027	 297.6409	 297.8687
2026-05-04 13:16:57.102844	 297.5197	 297.9677
2026-05-04 13:16:58.139587	 297.4609	 298.0578
2026-05-04 13:16:59.178437	 297.5902	 298.0556
2026-05-04 13:17:00.215254	 297.5417	 298.2316
2026-05-04 13:17:01.238276	 297.4756	 297.8358
2026-05-04 13:17:02.276735	 297.4866	 298.1216
2026-05-04 13:17:03.315023	 297.5638	 298.1107
2026-05-04 13:17:04.353950	 297.7401	 298.1106
2026-05-04 13:17:05.392540	 297.5461	 298.2535
2026-05-04 13:17:06.431244	 297.5086	 298.3525
2026-05-04 13:17:07.469321	 297.6078	 298.0996
2026-05-04 13:17:08.493064	 297.4866	 298.2865
2026-05-04 13:17:09.531786	 297.5814	 298.0886
2026-05-04 13:17:10.568837	 297.4462	 298.0842
2026-05-04 13:17:11.592521	 297.6431	 298.1876
2026-05-04 13:17:12.630978	 297.6188	 298.1546
2026-05-04 13:17:13.669251	 297.4977	 298.3525
2026-05-04 13:17:14.708795	 297.5374	 298.3305
2026-05-04 13:17:15.763875	 297.5784	 298.0447
2026-05-04 13:17:16.801134	 297.6343	 298.1282
2026-05-04 13:17:17.825088	 297.6409	 298.3525
